judul
PERANCANGAN ARSITEKTUR ENTERPRISE UNTUK PERGURUAN TINGGI SWASTA MENGGUNAKAN TOGAF ADM
Perancangan Sistem Informasi Pengolahan Administrasi Keuangan Sekolah Menengah Pertama Islam Terpadu Assalam Garut
Perancangan Sistem Pakar untuk Pembagian Waris Menurut Hukum Islam Fara’id
Rancang Bangun Sistem Informasi Penggajian di Perguruan Tinggi Swasta
Perancangan Sistem Informasi Manajemen Wedding Organizer Online Menggunakan Scrum
Architecture of human resource management system at universities
Pengembangan Sistem Informasi Jasa Menjahit Berbasis Web pada Ganesha Tailor Garut
Rancang Bangun Profil Wisata Dengan Sistem Informasi Geografis Perum Perhutani Kesatuan Pemangku Hutan Garut
Pengembangan Aplikasi Penjualan Sparepart di Bengkel Anugrah Jaya Motor Berbasis Desktop
Hubungan Dukungan Sosial Dengan Kualitas Hidup Pada Penderita Tuberkulosis Paru Di Balai Kesehatan Kerja Masyarakat Provinsi Jawa Barat Tahun 2014
Rancang bangun Aplikasi Pengelolaan Surat di Desa Tanjung Kamuning
Pengembangan Aplikasi Pengendalian Tugas Akhir Berbasis Web Sisi Mahasiswa Dosen dan Staff USI
Perancangan Sistem Informasi Keuangan di Sekolah Menengah Atas Negeri 18 Garut
Pengembangan Aplikasi Pengolahan Nilai Siswa Berbasis Web di Sekolah Dasar Negeri
Rancang Bangun Sistem Informasi Kepegawaian di Sekolah Menengah Pertama Negeri 3 Tarogong Kidul Kabupaten Garut
Asset management information system for higher education
Sistem Penggajian Terintegrasi Fingerprint di Perguruan Tinggi
Design of culinary information system based on android using multimedia development life cycle
Sistem Informasi Potensi Investasi Terintegrasi Menggunakan Scrum Agile
Rancangan Perangkat Lunak Aplikasi Kenaikan Jabatan Fungsional Dosen
Pengembangan Aplikasi Pengelolaan Inventaris Barang Berbasis Web Di Sekolah Tinggi Teknologi Garut
Abundance and nutrient content of some food plants in Sumatran rhino habitat in the forest of Kutai Barat East Kalimantan Indonesia
Rancang Bangun Aplikasi Computer Laboratory Resource Inventory System Berbasis Web Pada Sekolah Menengah Kejuruan Plus Pontren Yabafa
SISTEM INFORMASI PERHITUNGAN CAPAIAN KINERJA PEGAWAI DI BADAN PUSAT STATISTIK KABUPATEN GARUT
Membentuk Cara Berpikir Komputasi Siswa di Garut Dengan Tantangan Bebras
Designing smart dashboard system towards digital leadership in franchise organizations
Architecture information system for zakat infaq and sadaqah management institutions
Perancangan Elektronik Marketplace Event Organizer
Sistem Informasi Stock Dan Penjualan Di Q’la Computer Berbasis Web
Perancangan Aplikasi Pengelolaan Dana Bantuan Operasional Sekolah di Sekolah Menengah Atas
PENGEMBANGAN APLIKASI CONTROLLING TUGAS AKHIR BERBASIS WEB SISI KOORDINATOR DAN PEMANGKU KEPUTUSAN
Electronic culinary reservations based on Android with the Scrum methodology and Firebase database
The development of sign language learning media using multimedia systems
Design of subsidized fertilizer prediction information system with safety stock methodology
The proposed guest verification information system design for the residential complexes
Design of decision support system for business feasibility study using SMART method
Regression analysis in predicting coating application lifetime on asset integrity project
KESADARAN MASYARAKAT DALAM PENGGUNAAN JASA TRANSPORTASI PUBLIK DI KOTA BANDUNG Deskripsi Hasil Analisis Kesadaran Penumpang Dalam Menggunakan Jasa Bus DAMRI Di Kota Bandung
Rancang Bangun Aplikasi Komunitas Maya Kewirausahaan Berbasis Web
Sistem Informasi Katalog Diler Motor di Kota Garut
Edukasi Kesehatan melalui Buku Saku terhadap Pengetahuan dan Sikap Masyarakat Usia Produktif mengenai Cek Kesehatan Rutin
